seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,cx_to_motor_w_mean,lh_to_motor_w_mean,seg_to_motor_w_mean,vis_to_mush_w_mean,mirror,awareness_idx,collapse,presence,self_pe
2,62000,3024,208,353,0.9793523873329162,0.02207,0.05895940586924553,0.16966673731803894,1.9999899864196777,0.3611047565937042,0.37199637293815613,0.3745401203632355,0.06327065080404282,0.572927943845221,0.8809523809523809,0.8970370811491539,0.9673228029402188,0.18789667077681135
2,63000,3068,208,361,1.0,0.021054999999999997,0.05870647355914116,0.17163120210170746,1.9999899864196777,0.36166930198669434,0.37256166338920593,0.3761800527572632,0.06363161653280258,0.5668471235171787,0.9642857142857143,0.8196966009223672,0.9683467625100962,0.11812229244139386
2,64000,3112,210,368,0.8000043056488032,0.01982,0.058442916721105576,0.17365996539592743,1.9999899864196777,0.36254119873046875,0.37346789240837097,0.377826452255249,0.06400458514690399,0.5892369778513059,1.0,0.5658577478118305,0.9649178887540659,0.1341748836721928
2,65000,3167,213,374,0.9911269420146942,0.02434,0.0581224299967289,0.17607802152633667,1.9999899864196777,0.3635023832321167,0.37451764941215515,0.37966203689575195,0.06446927040815353,0.564776699470672,0.7037037037037037,0.9018132182778955,0.9685785318387794,0.342646981582709
2,66000,3219,213,376,0.9955701231002808,0.023135000000000003,0.05782104283571243,0.17838360369205475,1.9999899864196777,0.36407679319381714,0.3750881850719452,0.3812549412250519,0.06491672247648239,0.554479545529979,0.7884615384615384,0.8063366656095696,0.9650615103595632,0.16825360304302217
2,67000,3251,213,383,0.6465402369499208,0.025135,0.05763635411858559,0.17981140315532684,1.9999899864196777,0.36470723152160645,0.3757510483264923,0.382110059261322,0.06518902629613876,0.5762111049937482,0.7333333333333333,0.5567687400731636,0.9681248409425802,0.09669180592368776
2,68000,3301,213,391,0.9661560585975647,0.026305,0.057348962873220444,0.1819370687007904,1.9999899864196777,0.3654463589191437,0.37663114070892334,0.3834652304649353,0.0656169131398201,0.5759588314675825,0.875,0.8949733124393249,0.9630260217825636,0.32623657529254146
2,69000,3346,213,395,0.991161256480217,0.02361,0.05709153041243553,0.18385563790798187,1.9999899864196777,0.3659302592277527,0.3771936595439911,0.3846519887447357,0.06600409001111984,0.5387498907343798,0.9047619047619048,0.8038756838013179,0.9628636521530604,0.46648081842816647
2,70000,3393,213,401,0.9121688568115235,0.030230000000000003,0.05682389810681343,0.18575362861156464,1.9999899864196777,0.36668312549591064,0.377905011177063,0.3857026696205139,0.06639274209737778,0.570613050967059,0.9464285714285714,0.59281779777369,0.9633748218134717,0.09319038532928331
2,71000,3453,214,401,0.9808482759714126,0.021435,0.056484077125787735,0.18818393349647522,1.9999899864196777,0.367398738861084,0.3786519169807434,0.38700398802757263,0.06689868867397308,0.5337185045139436,0.8928571428571429,0.9057819480043481,0.9758585888599309,0.379491895472079
